day,h,t,rh,ws,wd,vis
2021-03-29,21,8.3,40.3,2.0,320.0,10.0
2021-03-30,0,6.1,40.3,1.0,360.0,10.0
2021-03-30,3,4.7,54.0,1.0,90.0,10.0
2021-03-30,6,4.1,57.2,1.0,90.0,10.0
2021-03-30,9,8.3,49.3,0.0,0.0,10.0
2021-03-30,12,14.1,47.8,1.0,140.0,15.0
2021-03-30,15,14.4,49.9,4.0,140.0,15.0
2021-03-30,18,15.9,41.7,3.0,320.0,15.0
2021-03-30,21,11.3,38.0,3.0,320.0,10.0
2021-03-31,0,9.3,45.4,0.0,0.0,10.0
2021-03-31,3,7.9,47.7,0.0,0.0,10.0
2021-03-31,6,5.9,58.1,1.0,90.0,10.0
2021-03-31,9,11.1,53.0,0.0,0.0,4.6
2021-03-31,12,15.1,40.8,0.0,0.0,10.0
2021-03-31,15,20.0,36.0,3.0,230.0,12.0
2021-03-31,18,18.0,35.4,1.0,140.0,12.0
2021-03-31,21,15.0,50.4,0.0,0.0,10.0
2021-04-01,0,15.3,42.7,1.0,360.0,10.0
2021-04-01,3,13.4,39.8,1.0,270.0,10.0
2021-04-01,6,11.3,47.0,1.0,270.0,10.0
2021-04-01,9,17.7,35.6,4.0,90.0,12.0
2021-04-01,12,20.0,33.8,5.0,140.0,12.0
2021-04-01,15,21.8,32.5,4.0,140.0,15.0
2021-04-01,18,21.4,33.3,3.0,140.0,12.0
2021-04-01,21,17.3,43.0,2.0,140.0,10.0
2021-04-02,0,16.4,38.7,5.0,90.0,10.0
2021-04-02,3,15.0,41.7,7.0,90.0,10.0
2021-04-02,6,14.3,41.2,4.0,90.0,10.0
2021-04-02,9,14.7,36.5,7.0,90.0,12.0
2021-04-02,12,18.6,35.1,3.0,90.0,15.0
2021-04-02,15,19.0,37.3,3.0,180.0,15.0
2021-04-02,18,18.2,42.0,0.0,0.0,10.0
2021-04-02,21,16.4,56.3,1.0,360.0,10.0
2021-04-03,0,15.1,61.2,1.0,270.0,10.0
2021-04-03,3,13.7,84.9,0.0,0.0,4.5
2021-04-03,6,13.9,77.3,1.0,230.0,10.0
2021-04-03,9,12.3,91.8,4.0,50.0,4.5
2021-04-03,12,12.2,93.6,0.0,0.0,4.5
2021-04-03,15,12.5,91.8,0.0,0.0,4.5
2021-04-03,18,13.0,90.6,1.0,360.0,4.9
2021-04-03,21,11.8,86.9,8.0,90.0,4.5
2021-04-04,0,10.9,79.5,7.0,90.0,10.0
2021-04-04,3,10.9,75.3,4.0,50.0,10.0
2021-04-04,6,10.9,68.8,3.0,320.0,10.0
2021-04-04,9,10.2,69.1,1.0,270.0,10.0
2021-04-04,12,13.0,62.9,2.0,180.0,15.0
2021-04-04,15,13.7,57.2,0.0,0.0,15.0
2021-04-04,18,12.9,53.1,5.0,50.0,15.0
2021-04-04,21,11.3,38.8,4.0,50.0,10.0
2021-04-05,0,12.2,36.6,5.0,50.0,10.0
2021-04-05,3,7.3,45.1,1.0,230.0,10.0
2021-04-05,6,6.1,52.0,0.0,0.0,10.0
2021-04-05,9,9.7,46.5,0.0,0.0,12.0
2021-04-05,12,13.7,51.2,1.0,180.0,15.0
2021-04-05,15,15.1,42.6,2.0,230.0,15.0
2021-04-05,18,13.9,44.1,4.0,230.0,15.0
2021-04-05,21,10.8,45.5,1.0,320.0,10.0
2021-04-06,0,10.1,45.3,1.0,320.0,10.0
